,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
4354,2015-10-26,207.3,207.34,206.56,206.9,14130818,207.3,207.37,206.56,207.0,69032965,SPY,LOWS
4355,2015-10-27,206.2,206.72,206.03,206.2,14751973,206.2,207.0,205.79,206.6,77905770,SPY,NONE
4356,2015-10-28,206.97,207.54,206.66,207.31,14598928,207.0,208.98,206.21,208.95,135906725,SPY,NONE
4357,2015-10-29,208.34,209.1,208.31,208.43,16550700,208.35,209.27,208.21,208.83,90525498,SPY,NONE
4358,2015-10-30,209.07,209.23,208.39,208.58,16620634,209.06,209.44,207.74,207.93,131076942,SPY,NONE
4359,2015-11-02,208.32,209.3,208.17,209.16,15199697,208.32,210.62,208.17,210.39,86270811,SPY,LOWS
4360,2015-11-03,209.98,210.4,209.7,210.28,14798192,209.97,211.66,209.7,211.0,95246052,SPY,LOWS
4361,2015-11-04,211.35,211.5,210.35,210.92,20330315,211.35,211.5,209.72,210.36,96224477,SPY,HIGH
4362,2015-11-05,210.44,210.98,209.54,209.59,16433763,210.43,210.98,209.09,210.15,78408744,SPY,HIGH
4363,2015-11-06,209.74,210.32,208.46,209.01,28204857,209.74,210.32,208.46,210.04,110471473,SPY,BOTH
4364,2015-11-09,209.31,209.49,207.92,208.09,22683829,209.31,209.49,206.95,208.08,131008660,SPY,HIGH
4365,2015-11-10,207.5,208.2,207.19,207.4,15327222,207.51,208.6,207.19,208.56,75874602,SPY,LOWS
4366,2015-11-11,208.88,208.9,207.98,208.11,14026976,208.88,208.94,207.66,207.74,67845971,SPY,NONE
4367,2015-11-12,206.5,206.72,206.08,206.31,21294439,206.5,207.06,204.82,204.84,121315200,SPY,NONE
4368,2015-11-13,204.35,204.67,203.01,203.23,27190940,204.35,204.67,202.44,202.54,153577050,SPY,HIGH
4369,2015-11-16,202.32,203.76,202.18,203.32,26810866,202.32,205.69,202.18,205.62,117645231,SPY,LOWS
4370,2015-11-17,205.99,206.01,205.26,205.86,18851754,205.99,207.04,204.88,205.47,121123744,SPY,NONE
4371,2015-11-18,206.04,206.77,205.99,206.37,13766233,206.04,208.9,205.99,208.73,121342544,SPY,LOWS
4372,2015-11-19,208.59,209.05,208.39,208.58,19226494,208.59,209.05,208.2,208.55,88220465,SPY,HIGH
4373,2015-11-20,209.44,210.12,209.33,209.84,20398924,209.45,210.12,208.86,209.31,94011519,SPY,HIGH
4374,2015-11-23,209.38,209.98,209.14,209.77,13185359,209.38,209.98,208.52,209.07,64931172,SPY,HIGH
4375,2015-11-24,207.86,208.55,207.82,207.93,16706778,207.87,209.83,207.41,209.35,98874365,SPY,NONE
4376,2015-11-25,209.5,209.59,209.01,209.38,12578581,209.5,209.74,209.01,209.32,51980062,SPY,LOWS
4377,2015-11-27,209.43,209.54,208.86,209.34,10946808,209.43,209.8,208.86,209.56,37317779,SPY,LOWS
4378,2015-11-30,209.77,209.89,209.02,209.29,14845931,209.75,209.89,208.56,208.69,112822700,SPY,HIGH
4379,2015-12-01,209.44,210.39,209.11,209.52,22989106,209.44,210.82,209.11,210.68,97858418,SPY,LOWS
4380,2015-12-02,210.61,211.0,210.45,210.6,13660109,210.62,211.0,208.23,208.53,108441259,SPY,HIGH
4381,2015-12-03,208.83,209.15,207.24,207.54,27423781,208.83,209.15,204.75,205.61,166224154,SPY,HIGH
4382,2015-12-04,206.08,207.83,205.93,207.69,30640174,206.08,209.97,205.93,209.62,192913879,SPY,LOWS
4383,2015-12-07,209.22,209.25,208.14,208.27,21523524,209.23,209.73,207.2,208.35,102027111,SPY,NONE
4384,2015-12-08,206.48,206.94,205.86,205.98,23749776,206.49,208.29,205.78,206.95,103372367,SPY,NONE
4385,2015-12-09,206.19,208.23,206.16,207.78,22733082,206.19,208.68,204.18,205.34,162401537,SPY,NONE
4386,2015-12-10,205.44,206.2,205.14,205.98,18308469,205.42,207.43,205.14,205.87,116128884,SPY,LOWS
4387,2015-12-11,203.37,203.95,202.75,203.87,35302260,203.35,204.14,201.51,201.88,211173305,SPY,NONE
4388,2015-12-14,202.07,203.05,200.83,200.93,41980989,202.07,203.05,199.95,202.9,182385177,SPY,HIGH
4389,2015-12-15,204.71,205.74,204.54,205.27,26801550,204.7,206.11,204.54,205.03,154069569,SPY,LOWS
